time,infection_status,risk_group,count,model
32,i,g1-01,433.7,60%
32,i,g1-10,242.9,60%
32,i,g1-11,396.1,60%
32,r,g0-00,155.1,60%
32,r,g0-01,144.1,60%
32,r,g0-10,148.9,60%
32,r,g0-11,141.2,60%
32,r,g1-00,354.3,60%
32,r,g1-01,569.9,60%
32,r,g1-10,353.6,60%
32,r,g1-11,556.5,60%
32,s,g0-00,1136.6,60%
32,s,g0-01,731.1,60%
32,s,g0-10,1596.3,60%
32,s,g0-11,1226.7,60%
32,s,g1-00,1888.6,60%
32,s,g1-01,1910.2,60%
32,s,g1-10,1468.1,60%
32,s,g1-11,1492.1,60%
33,i,g0-00,219.3,60%
33,i,g0-01,220.9,60%
33,i,g0-10,206.0,60%
33,i,g0-11,205.3,60%
33,i,g1-00,277.4,60%
33,i,g1-01,454.4,60%
33,i,g1-10,254.7,60%
33,i,g1-11,416.0,60%
33,r,g0-00,171.0,60%
33,r,g0-01,162.3,60%
33,r,g0-10,175.4,60%
33,r,g0-11,156.7,60%
33,r,g1-00,401.4,60%
33,r,g1-01,640.4,60%
33,r,g1-10,388.4,60%
33,r,g1-11,617.1,60%
33,s,g0-00,1111.6,60%
33,s,g0-01,722.7,60%
33,s,g0-10,1611.5,60%
33,s,g0-11,1246.4,60%
33,s,g1-00,1819.3,60%
33,s,g1-01,1799.3,60%
33,s,g1-10,1364.0,60%
33,s,g1-11,1358.5,60%
34,i,g0-00,231.4,60%
34,i,g0-01,233.8,60%
34,i,g0-10,216.7,60%
34,i,g0-11,209.8,60%
34,i,g1-00,296.9,60%
34,i,g1-01,471.4,60%
34,i,g1-10,266.1,60%
34,i,g1-11,431.9,60%
34,r,g0-00,189.9,60%
34,r,g0-01,181.3,60%
34,r,g0-10,191.8,60%
34,r,g0-11,174.6,60%
34,r,g1-00,448.6,60%
34,r,g1-01,714.8,60%
34,r,g1-10,437.3,60%
34,r,g1-11,684.7,60%
34,s,g0-00,1087.9,60%
34,s,g0-01,700.2,60%
34,s,g0-10,1631.6,60%
34,s,g0-11,1241.5,60%
34,s,g1-00,1745.3,60%
34,s,g1-01,1698.5,60%
34,s,g1-10,1256.5,60%
34,s,g1-11,1257.5,60%
35,i,g0-00,243.4,60%
35,i,g0-01,241.9,60%
35,i,g0-10,225.0,60%
35,i,g0-11,223.3,60%
35,i,g1-00,307.5,60%
35,i,g1-01,492.5,60%
35,i,g1-10,279.8,60%
35,i,g1-11,440.3,60%
35,r,g0-00,209.0,60%
35,r,g0-01,197.6,60%
35,r,g0-10,210.2,60%
35,r,g0-11,195.5,60%
35,r,g1-00,505.9,60%
35,r,g1-01,792.4,60%
35,r,g1-10,479.7,60%
